intestine,week,mouse,yfp
small,0.7,0,0.599
small,0.7,1,0.784
small,0.7,2,0.902
small,0.7,3,0.445
small,7.0,4,0.385
small,7.0,5,0.35100000000000003
small,7.0,6,0.31
small,7.0,7,0.35600000000000004
small,7.0,8,0.43200000000000005
small,12.0,9,0.377
small,12.0,10,0.165
small,12.0,11,0.27399999999999997
small,12.0,12,0.29600000000000004
small,20.0,13,0.18899999999999997
small,20.0,14,0.136
small,20.0,15,0.21100000000000002
small,20.0,16,0.142
small,20.0,17,0.204
large,0.7,0,0.29600000000000004
large,0.7,1,0.41
large,0.7,2,0.5870000000000001
large,0.7,3,0.317
large,7.0,4,0.28300000000000003
large,7.0,5,0.284
large,7.0,6,0.35100000000000003
large,7.0,7,0.299
large,12.0,8,0.331
large,12.0,9,0.263
large,12.0,10,0.205
large,12.0,11,0.198
large,20.0,12,0.09630000000000001
large,20.0,13,0.192
large,20.0,14,0.192
large,20.0,15,0.24100000000000002
large,20.0,16,0.205
large,20.0,17,0.20600000000000002
